first_name,last_name,title,emp_no
Georgi,Facello,Senior Engineer,10001
Chirstian,Koblick,Senior Engineer,10004
Kyoichi,Maliniak,Senior Staff,10005
Anneke,Preusig,Senior Engineer,10006
Sumant,Peac,Senior Engineer,10009
Kazuhide,Peha,Senior Engineer,10018
Lillian,Haddadi,Staff,10019
Mayuko,Warwick,Engineer,10020
Shahaf,Famili,Engineer,10022
Bojan,Montemayor,Engineer,10023
Yongqiao,Berztiss,Senior Engineer,10026
Alain,Chappelet,Senior Engineer,10035
Zvonko,Nyanchama,Senior Engineer,10047
Hidefumi,Caine,Senior Engineer,10051
Sanjiv,Zschoche,Senior Staff,10053
Ebbe,Callaway,Senior Engineer,10057
Berhard,McFarlin,Senior Staff,10058
Alejandro,McAlpine,Senior Staff,10059
Gino,Leonhardt,Senior Engineer,10063
Kwee,Schusler,Senior Engineer,10066
Claudi,Stavenow,Senior Engineer,10067
Reuven,Garigliano,Technique Leader,10070
Hironoby,Sidou,Senior Engineer,10072
Mokhtar,Bernatsky,Technique Leader,10074
Erez,Ritzmann,Senior Engineer,10076
Jungsoon,Syrzycki,Senior Staff,10088
Amabile,Gomatam,Senior Engineer,10091
Jayson,Mandell,Engineer,10096
Remzi,Waschkowski,Senior Staff,10097
Hironobu,Haraldson,Senior Staff,10100
Akemi,Birch,Engineer,10103
Eben,Aingworth,Senior Engineer,10106
Kayoko,Valtorta,Senior Staff,10126
Subir,Baja,Senior Engineer,10127
Armond,Peir,Technique Leader,10129
Nishit,Casperson,Senior Engineer,10130
Diederik,Siprelle,Senior Engineer,10134
Perry,Shimshoni,Senior Engineer,10138
Zhenbing,Perng,Senior Engineer,10150
Heekeun,Majewski,Assistant Engineer,10153
Nigel,Aloisi,Senior Engineer,10157
Serif,Buescher,Senior Engineer,10159
Debatosh,Khasidashvili,Senior Staff,10160
Karsten,Szmurlo,Senior Staff,10163
Samphel,Siegrist,Engineer,10166
Mechthild,Bonifati,Staff,10183
Josyula,Hofmeyr,Senior Staff,10194
Marc,Hellwagner,Staff,10196
Pranav,Furedi,Senior Engineer,10198
Steen,Escriba,Senior Staff,10203
Mabhin,Leijenhorst,Senior Engineer,10205
Girolamo,Anandan,Senior Engineer,10207
Xiaobin,Duclos,Senior Staff,10215
Genta,Kolvik,Senior Staff,10219
Leon,Trogemann,Senior Engineer,10224
Karoline,Cesareni,Senior Staff,10228
Clyde,Vernadat,Senior Staff,10230
Lein,Vendrig,Senior Staff,10233
Nikolaos,Llado,Staff,10239
Remko,Maccarone,Engineer,10240
Frederique,Tempesti,Senior Staff,10248
Marie,Boreale,Senior Engineer,10249
Basil,Ishibashi,Senior Engineer,10258
Mahendra,Maraist,Staff,10262
Yishai,Cannane,Staff,10272
Moty,Kusakari,Senior Engineer,10281
Hercules,Benzmuller,Engineer,10282
Kauko,Birjandi,Senior Engineer,10283
Masali,Murrill,Engineer,10284
Kristine,Velardi,Senior Staff,10295
Dietrich,DuCasse,Staff,10298
Heng,Kilgour,Staff,10306
Nikolaos,Leaver,Engineer,10307
Isamu,Dahlbom,Senior Engineer,10322
Arunachalam,Badr,Senior Staff,10325
Masali,Czap,Staff,10326
Serenella,Kawashima,Engineer,10328
Snehasis,Dymetman,Senior Engineer,10333
Djelloul,Laventhal,Senior Staff,10340
Dinah,Syrzycki,Senior Engineer,10343
Pradeep,Kaminger,Staff,10347
Oksana,Brodie,Senior Staff,10349
Phule,Hammerschmidt,Senior Staff,10353
Satyanarayana,Cochrane,Staff,10355
Vasilis,Standera,Senior Staff,10356
Qunsheng,Tagansky,Technique Leader,10358
Nakhoon,Dengi,Senior Engineer,10364
Hyuckchul,Gini,Senior Staff,10367
Anneli,Frijda,Technique Leader,10372
Marl,Grospietsch,Senior Engineer,10377
Parto,Wrigley,Senior Staff,10387
Hironoby,Kaiser,Staff,10388
Make,Peir,Technique Leader,10389
Sibyl,Rahier,Senior Engineer,10396
Irena,Reutenauer,Technique Leader,10397
Volkmar,Ebeling,Technique Leader,10402
Prodip,Rosti,Senior Engineer,10404
Ulf,Siepmann,Senior Staff,10407
Danel,Impagliazzo,Senior Staff,10413
Candida,Porotnikoff,Staff,10418
Greger,Rubsam,Engineer,10422
Arunas,Luce,Technique Leader,10426
Martien,Improta,Senior Engineer,10429
Hisao,Tiemann,Senior Staff,10432
Reuven,Dengi,Engineer,10433
Bodh,Ranta,Senior Engineer,10451
Tsvetan,Matzel,Senior Staff,10453
Ung,Zaiane,Staff,10463
Guoxiang,Trogemann,Senior Engineer,10477
Amstein,Kossowski,Senior Engineer,10486
Yakkov,Servieres,Senior Engineer,10494
Pramod,Rabehasaina,Senior Engineer,10497
Maik,Luft,Senior Staff,10499
Dannz,Pell,Engineer,10503
Xiong,Varker,Staff,10504
Abdelwaheb,Riesenhuber,Senior Staff,10509
Udi,Gihr,Senior Staff,10512
Tiina,Speek,Senior Staff,10517
Marke,Cesareni,Senior Staff,10522
Ymte,Yetto,Assistant Engineer,10529
Oguz,Gimbel,Staff,10531
Yannis,Couchot,Senior Engineer,10542
Ramalingam,Gunderson,Senior Staff,10548
Kazuhito,Shiratori,Senior Engineer,10552
Jianhao,Thisen,Senior Engineer,10564
Gao,Poulakidas,Staff,10568
Kirk,Vuskovic,Senior Engineer,10586
Falguni,Kenevan,Senior Engineer,10593
Sanjit,Coors,Senior Staff,10596
Wayne,Restivo,Staff,10603
Irena,Roccetti,Engineer,10610
Gila,Ozeri,Senior Engineer,10614
Keung,Delgrande,Senior Staff,10615
Aleksander,Danlos,Senior Engineer,10623
Sham,Gyorkos,Technique Leader,10624
Krisda,Krogh,Senior Engineer,10628
Bezalel,Katzenelson,Engineer,10630
Inderjeet,Chaudhuri,Engineer,10631
Nahid,Chepyzhov,Senior Engineer,10634
Saeko,Porotnikoff,Staff,10636
Pramod,Erol,Senior Engineer,10639
Guozhong,Zucker,Engineer,10641
Hirochika,Narlikar,Engineer,10642
Otmar,Feinberg,Senior Engineer,10653
Makato,Cusworth,Senior Staff,10667
Parviz,Rebaine,Senior Staff,10671
Valeri,Danley,Engineer,10676
Guiseppe,Stranks,Senior Engineer,10683
Berhard,Daescu,Senior Staff,10693
Unal,Fendler,Technique Leader,10696
Bader,Szemeredi,Senior Engineer,10702
Uma,Koprowski,Senior Engineer,10712
Adib,Rullman,Senior Engineer,10718
Zita,Minakawa,Senior Engineer,10726
Sachar,Erdi,Engineer,10734
Sven,Huttel,Senior Staff,10741
Shim,Wiegley,Technique Leader,10742
Poorav,Ranze,Senior Engineer,10745
King,Brendel,Senior Engineer,10749
Roddy,Demeyer,Technique Leader,10750
Yunming,Beetstra,Senior Engineer,10764
Monique,Doering,Staff,10767
Ishfaq,Candan,Senior Engineer,10768
Selwyn,Merey,Senior Staff,10778
Tadahiko,Sgarro,Senior Engineer,10791
Supot,Naudin,Senior Staff,10795
Chenxi,Leijenhorst,Senior Engineer,10808
Ashish,Fortenbacher,Engineer,10811
Shalesh,Shumilov,Senior Staff,10813
Nidapan,Dymetman,Senior Staff,10814
Arnd,Anandan,Senior Engineer,10826
Willard,Danley,Staff,10827
Fen,Fiebach,Senior Staff,10830
Toong,Driscoll,Technique Leader,10831
Krisda,Gecseg,Technique Leader,10833
Huiqun,Rajcani,Engineer,10834
Tomoyuki,Kermarrec,Engineer,10835
Jianhua,Leivant,Senior Staff,10836
Dipayan,Koprowski,Engineer,10844
Tokuyasu,Serre,Senior Engineer,10846
Theirry,Danley,Senior Staff,10847
Fen,Bratsberg,Senior Engineer,10848
Makato,Mayerwieser,Engineer,10849
Jagoda,Nannarelli,Engineer,10854
Kenroku,Gonthier,Senior Engineer,10858
Aram,Gilg,Staff,10871
Karoline,Speel,Senior Staff,10872
Sukumar,Wegerle,Staff,10873
Lakshmi,Deville,Staff,10878
Muzhong,Chleq,Senior Engineer,10879
Fun,Heuser,Engineer,10882
Shimshon,Champarnaud,Engineer,10883
Rayond,Cronau,Senior Staff,10885
Lunjin,DeMori,Senior Engineer,10887
Ferdinand,Prenel,Senior Engineer,10900
Munehiro,Carrere,Staff,10906
Georgi,Atchley,Senior Engineer,10909
Narain,Thummel,Staff,10913
Ronghao,Narahara,Senior Staff,10920
Mara,Bahi,Senior Engineer,10921
Hironoby,Atchley,Senior Staff,10924
Leni,Eppinger,Senior Engineer,10926
Gal,Scallan,Senior Staff,10927
Arch,Minakawa,Senior Engineer,10930
Avishai,Picci,Senior Engineer,10932
Mountaz,Schicker,Senior Staff,10936
Toshimitsu,Larfeldt,Engineer,10942
Berna,Skafidas,Senior Engineer,10943
Remko,Zyda,Senior Engineer,10944
Gor,Usery,Senior Staff,10947
Shigeichiro,Wroclawski,Senior Staff,10949
Arno,Picel,Engineer,10956
Eckart,Braunschweig,Senior Staff,10965
Premal,Noriega,Senior Engineer,10969
Muneo,Papsdorf,Senior Engineer,10974
Masako,Schiper,Technique Leader,10986
Flemming,Baezner,Engineer,10987
Chinya,Deyuan,Senior Engineer,10988
Sumali,Candan,Senior Staff,10989
Shin,Foote,Technique Leader,10990
Matk,Rahimi,Senior Staff,10996
JoAnna,Decleir,Senior Engineer,11004
Alper,Axelband,Senior Staff,11009
Taegyun,Speckmann,Staff,11012
Leon,Huttel,Senior Engineer,11019
Srinidhi,Henders,Staff,11021
Remzi,Cappello,Senior Engineer,11027
Ottavia,Walstra,Senior Staff,11031
Erez,Schaaf,Staff,11032
Lansing,Maliniak,Senior Engineer,11037
Jinya,Beidas,Senior Staff,11038
Gou,Breugel,Senior Engineer,11042
Jaques,Demke,Senior Staff,11048
Elvis,Katiyar,Senior Staff,11050
Przemyslawa,Erol,Senior Engineer,11051
Palash,Speel,Staff,11056
Pintsang,Erni,Senior Staff,11061
Shawna,Vieri,Senior Engineer,11064
Shaz,Langford,Senior Staff,11066
Adib,Raney,Senior Engineer,11070
Kwan,Sigstam,Senior Engineer,11071
Karsten,Belinskaya,Senior Engineer,11075
Piyush,Garigliano,Senior Engineer,11079
Barry,Boyle,Senior Staff,11081
Shimshon,Ducloy,Senior Staff,11083
Greger,Senzako,Senior Engineer,11084
Hailing,Thummel,Senior Engineer,11085
Changho,Jayawardene,Senior Engineer,11087
Conal,Henders,Senior Staff,11089
Souichi,Ramsay,Engineer,11091
Narain,Stamatiou,Staff,11092
Arnd,Covnot,Engineer,11098
Berna,Cochrane,Senior Staff,11100
Aris,Iwayama,Senior Engineer,11106
Udi,Zastre,Assistant Engineer,11111
Boaz,Mukaidono,Staff,11112
Shahab,Peng,Senior Staff,11113
Vugranam,Kakkad,Senior Engineer,11121
Xinyu,Menhoudj,Senior Staff,11130
Kristin,Harnett,Senior Engineer,11132
Nalini,Azulay,Technique Leader,11133
Sachar,Rajcani,Senior Engineer,11134
Hugh,Luca,Engineer,11137
Bogdan,Homond,Senior Staff,11139
Yongdong,Rosen,Engineer,11143
Carrsten,Heinisuo,Senior Staff,11144
Ishfaq,Masand,Senior Staff,11146
Ayonca,Nitsch,Engineer,11147
Zhanqiu,Botman,Senior Staff,11148
Masaki,Hagimont,Senior Engineer,11158
Kauko,Narlikar,Senior Engineer,11162
Shmuel,Tetzlaff,Senior Staff,11168
Minghong,Cannard,Senior Engineer,11170
Akhilish,Milicia,Engineer,11174
Chrisa,dAstous,Senior Engineer,11177
Mitsuyuki,Bojadziev,Senior Engineer,11180
Hausi,Cullers,Engineer,11181
Aloys,Baezner,Senior Staff,11185
Kshitij,Stasinski,Senior Engineer,11186
Dante,Bodoff,Senior Staff,11189
Apostol,Bahr,Engineer,11192
Tadahiro,Fordan,Senior Staff,11197
Jouko,Masaki,Staff,11201
Diederik,Covnot,Technique Leader,11204
Saeed,Gips,Engineer,11207
Saniya,Valtorta,Technique Leader,11208
Yurij,Rissland,Senior Engineer,11211
Vugranam,Munoz,Technique Leader,11213
Kellie,Mawatari,Senior Engineer,11217
Gretta,Ramamoorthy,Senior Engineer,11229
Hidefumi,Crelier,Senior Staff,11232
Sanjit,Waschkowski,Senior Engineer,11233
Kiam,Condotta,Engineer,11240
Udi,Desikan,Assistant Engineer,11243
Randi,Cyre,Engineer,11249
Bezalel,Chinal,Senior Staff,11251
Koldo,Pokrovskii,Senior Engineer,11253
Danel,Rindone,Staff,11254
Aris,Maccarone,Senior Staff,11258
Florina,Rohrbach,Senior Engineer,11266
Shaunak,Zaumen,Senior Engineer,11267
Aimee,Petersohn,Senior Engineer,11268
Masanao,Nicolson,Staff,11274
Hitomi,Eppinger,Senior Engineer,11275
Chuanti,Cherinka,Senior Engineer,11289
Visit,Dredge,Engineer,11290
Souichi,Sichman,Senior Engineer,11292
Tru,Segond,Senior Engineer,11294
Abdelkader,Lanzelotte,Senior Staff,11295
Hironobu,Kenevan,Senior Engineer,11296
Mingzeng,Oxenboll,Senior Staff,11301
Shigeaki,Hagimont,Senior Staff,11317
Pranas,Marrakchi,Assistant Engineer,11319
Atilio,McAlpine,Senior Staff,11320
Nathalie,Pocchiola,Senior Engineer,11322
Kauko,Billingsley,Senior Engineer,11324
Samphel,Rossi,Engineer,11325
Munenori,Plesums,Senior Engineer,11326
Kwangsub,Hanratty,Senior Staff,11338
Flemming,Massonet,Senior Engineer,11339
Aris,Bala,Senior Engineer,11340
Susanne,Erez,Senior Engineer,11343
Anneli,Jonsson,Senior Engineer,11347
Yurii,Hammerschmidt,Engineer,11349
Fen,Schach,Senior Staff,11360
Toshimi,Shinomoto,Engineer,11365
Yongmao,Keohane,Senior Staff,11373
Valery,Suomi,Senior Staff,11376
Kenroku,Pelc,Senior Engineer,11380
Shiv,Ullian,Engineer,11385
Alselm,Assaf,Senior Engineer,11386
Junsik,Junot,Senior Engineer,11393
Anneke,Servieres,Engineer,11396
Oscar,Peir,Senior Staff,11398
Huan,Merey,Staff,11401
Bedrich,Borovoy,Technique Leader,11404
Eberhardt,Gini,Senior Staff,11406
Gro,Vendrig,Engineer,11410
Sanjiv,Anido,Engineer,11415
Anneli,Cyne,Technique Leader,11417
Satosi,Cooley,Senior Staff,11418
Tsutomu,Lalonde,Senior Staff,11420
Josyula,Msuda,Senior Engineer,11421
Guangming,Kopetz,Staff,11423
Renee,Crelier,Senior Engineer,11425
Marlo,Aingworth,Senior Staff,11441
Naftali,Narahara,Senior Engineer,11446
Kotesh,Asser,Senior Engineer,11449
Eben,Rajaraman,Senior Engineer,11451
Shigehito,Luby,Senior Staff,11452
Duke,Suomi,Senior Staff,11459
Mana,Maraist,Senior Engineer,11460
Guttorm,Giaccio,Senior Engineer,11469
Gennady,Akazan,Engineer,11474
Manton,Yoshizawa,Staff,11476
Shridhar,Pleszkun,Staff,11479
Nathan,Picht,Senior Engineer,11503
Rance,Picel,Staff,11506
Aleksander,Feldhoffer,Senior Engineer,11509
Otmar,Mahnke,Senior Staff,11513
Ulf,Basawa,Staff,11515
Jinxi,Oxman,Senior Staff,11518
Halsur,Chinen,Senior Staff,11519
Yuguang,Pezzoli,Engineer,11523
Xiadong,Standera,Senior Engineer,11524
Alagu,Boyle,Staff,11527
Zito,Dolinsky,Technique Leader,11528
Radhika,Motley,Technique Leader,11531
Vitaly,Lorch,Technique Leader,11533
DAIDA,Pehl,Senior Staff,11537
Chanjung,Portugali,Senior Engineer,11540
Subhash,Taubenfeld,Staff,11554
Kotesh,Perfilyeva,Senior Staff,11555
Teiji,Mitzlaff,Senior Staff,11567
Martins,Fujisaki,Senior Engineer,11568
Pranas,Hutton,Senior Engineer,11573
Godehard,Plotkin,Engineer,11575
Mayumi,Deyuan,Senior Engineer,11577
Patricio,Rosenbaum,Senior Engineer,11581
Shem,Zambonelli,Senior Engineer,11587
Gina,Plessier,Senior Engineer,11589
Takanari,Kamber,Senior Staff,11595
Yannik,Gunderson,Staff,11596
Somnath,Malabarba,Senior Staff,11602
Herb,Swen,Senior Staff,11603
Perry,Pepe,Senior Staff,11606
Tomokazu,Foong,Engineer,11607
Shem,Isaak,Senior Staff,11615
Zhilian,Brendel,Engineer,11616
Adil,Gammage,Senior Engineer,11624
Fan,Malinowski,Senior Engineer,11628
Valeri,Coorg,Senior Engineer,11640
Chikako,Rothenberg,Senior Engineer,11641
Sanjit,Zaiane,Assistant Engineer,11644
Lobel,Rubsam,Engineer,11646
Magy,Nitsche,Senior Engineer,11647
